titles,years,descriptions,genres
"I, Robot",2004,"    In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.","Action, Drama, Sci-Fi            "
Lost,2004,    The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Adventure, Drama, Fantasy            "
Troy,2004,"    An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","Drama, History            "
The Butterfly Effect,2004,"    Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.","Drama, Sci-Fi, Thriller            "
The Bourne Supremacy,2004,"    When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","Action, Mystery, Thriller            "
Crash,2004,"    Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Crime, Drama, Thriller            "
Shrek 2,2004,"    Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","Animation, Adventure, Comedy            "
The Day After Tomorrow,2004,"    Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","Action, Adventure, Sci-Fi            "
House,2004,    An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Drama, Mystery            "
The Terminal,2004,"    An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","Comedy, Drama, Romance            "
Saw,2004,"    Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.","Horror, Mystery            "
Collateral,2004,    A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,"Crime, Drama, Thriller            "
Ocean's Twelve,2004,    Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,"Crime, Thriller            "
The Machinist,2004,    An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"Drama, Thriller            "
Hotel Rwanda,2004,"    Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History            "
The Aviator,2004,    A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,"Biography, Drama            "
Anchorman: The Legend of Ron Burgundy,2004,"    Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",Comedy            
Downfall,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography, Drama, History            "
Mean Girls,2004,"    Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Comedy            
Man on Fire,2004,"    In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","Action, Crime, Drama            "
50 First Dates,2004,"    Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.","Comedy, Drama, Romance            "
Howl's Moving Castle,2004,"    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation, Adventure, Family            "
Hellboy,2004,"    A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.","Action, Fantasy, Horror            "
National Treasure,2004,    A historian races to find the legendary Templar Treasure before a team of mercenaries.,"Action, Adventure, Mystery            "
Meet the Fockers,2004,    All hell breaks loose when the Byrnes family meets the Focker family for the first time.,"Comedy, Romance            "
Van Helsing,2004,    The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,"Action, Adventure, Fantasy            "
The Village,2004,    A series of events tests the beliefs of a small isolated countryside village.,"Drama, Mystery, Thriller            "
Dawn of the Dead,2004,"    A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","Action, Horror            "
Before Sunset,2004,"    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance            "
Dodgeball,2004,    A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,"Comedy, Sport            "
The Passion of the Christ,2004,"    Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Drama            
The Chronicles of Riddick,2004,"    The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.","Action, Adventure, Sci-Fi            "
Garden State,2004,    A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"Comedy, Drama, Romance            "
Closer,2004,    The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,"Drama, Romance            "
